Date,Time,Tweet,Symptom,Link
15/11/2020,3:44,"RT @freya_sawbridge: I wrote this tweet after a bad relapse. I was grieving my old body and in a bad mental space. Now, 2 months I managedâ€¦","relapse,months,space,body,mental",
15/11/2020,3:44,"RT @JoePajak: #Covid19  #LongCovid
â€˜More than 66% of patients hospitalised because of the coronavirus continue to suffer from debilitatingâ€¦","suffer,continue",
15/11/2020,3:41,"#Covid19  #LongCovid
â€˜More than 66% of patients hospitalised because of the coronavirus continue to suffer from debilitating symptoms more than seven weeks after being discharged, according to a study in the medical journal Thorax last week.â€™
https://t.co/5S2JpP9Kwj https://t.co/hVbnCpi9X1 https://t.co/nDkdkdeUQ3","continue,medical,thorax,study,journal,suffer,debilitating,according",https://t.co/5S2JpP9Kwj
15/11/2020,3:40,"RT @DrEricDing: âš ï¸HOLY COWâ€”""In a *young, low-risk* population with ongoing #COVID19 symptoms, almost 70% of individuals have impairment inâ€¦","impairment,...,population,ongoing,low-risk",
15/11/2020,3:31,"RT @JoePajak: #LongCovid 
Up to 500,000 people in Britain are living with long-term effects of Covid infection, and more than 230,000 patiâ€¦","infection,covid,effects,long-term,living",
15/11/2020,3:28,RT @HealthHubris: So many reasons here why chronic fatigue syndrome is a misleading and inaccurate term #mecfs #longcovid #myalgicE https:/â€¦,"syndrome,chronic,misleading,fatigue,inaccurate",
15/11/2020,3:27,"RT @Huisarts_Vink: @mikepanayi I've got severe #MEcfs, I do not suffer from tiredness; 
#PACEtrial psychiatrists placed emphasis on fatiguâ€¦","emphasis,psychiatrists,...,placed,tiredness,fatigu",
15/11/2020,3:19,"So much more to learn about #Covid19 and its impact.
In particular, there is mounting concern that some of the worst affected by #LongCovid are younger adults and particularly those who in normal times were fit and active. https://t.co/9gCPTXda8r","particular,mounting,impact,concern,normal,times",https://t.co/9gCPTXda8r
15/11/2020,3:19,"RT @JoanMcParland: So sad, unfortunately I encountered one medic laughing and airing negative assumptions of Covid developing into lengthyâ€¦","covid,medic,developing,airing,assumptions,laughing,negative",
15/11/2020,3:15,"#LongCovid 
Up to 500,000 people in Britain are living with long-term effects of Covid infection, and more than 230,000 patients have used an NHS online service â€˜Your Covid Recoveryâ€™, which gives general information and advice on living with long Covid.
https://t.co/5S2JpP9Kwj","infection,general,long,covid,information,service,online,effects,long-term,advice,living,recovery",https://t.co/5S2JpP9Kwj
